Station_Name	Station_Id_d	40.0333	117.4	Year	Mon	Day	Hour
蓟县国家一般气象站	54428	40.0333	117.4	2008	8	27	1
蓟县国家一般气象站	54428	40.0333	117.4	2014	6	6	13
蓟县国家一般气象站	54428	40.0333	117.4	2016	6	15	16
蓟县国家一般气象站	54428	39.0667	117.2	2016	6	15	17
天津城市气候监测站	54517	39.3833	117.0167	2015	6	22	12
武清国家一般气象站	54523	39.3833	117.0167	2007	7	11	0
武清国家一般气象站	54523	39.3833	117.0167	2009	6	26	18
武清国家一般气象站	54523	39.3833	117.0167	2014	6	26	16
武清国家一般气象站	54523	39.3833	117.0167	2014	6	26	16
武清国家一般气象站	54523	39.3833	117.0167	2015	7	21	18
武清国家一般气象站	54523	39.7333	117.2833	2015	7	24	13
宝坻	54525	39.0833	117.3333	2006	6	24	17
东丽国家一般气象站	54526	39.0833	117.3333	2015	6	1	17
东丽国家一般气象站	54526	39.0833	117.3333	2015	6	1	18
东丽国家一般气象站	54526	39.0833	117.05	2015	9	24	13
西青国家基本气象站	54527	39.0833	117.05	2015	6	1	18
西青国家基本气象站	54527	39.2333	117.1333	2015	6	22	12
北辰国家一般气象站	54528	39.2333	117.1333	2011	7	14	15
北辰国家一般气象站	54528	39.2333	117.1333	2015	5	17	21
北辰国家一般气象站	54528	39.2333	117.1333	2015	7	24	12
北辰国家一般气象站	54528	39.2333	117.1333	2015	7	27	19
北辰国家一般气象站	54528	39.35	117.8167	2015	7	30	16
宁河国家一般气象站	54529	39.35	117.8167	2006	7	5	16
宁河国家一般气象站	54529	39.35	117.8167	2014	6	10	14
宁河国家一般气象站	54529	39.2333	117.7667	2015	6	1	18
汉沽国家一般气象站	54530	39.2333	117.7667	2008	8	27	1
汉沽国家一般气象站	54530	39.2333	117.7667	2014	6	22	16
汉沽国家一般气象站	54530	39.2333	117.7667	2015	6	1	18
汉沽国家一般气象站	54530	38.9167	116.9167	2015	6	1	19
静海国家一般气象站	54619	38.9167	116.9167	2006	7	5	17
静海国家一般气象站	54619	38.9167	116.9167	2008	8	28	15
静海国家一般气象站	54619	38.9167	116.9167	2015	8	23	15
静海国家一般气象站	54619	38.9167	116.9167	2016	6	22	19
静海国家一般气象站	54619	38.9167	116.9167	2016	6	28	14
静海国家一般气象站	54619	38.9833	117.3667	2016	6	30	6
津南国家一般气象站	54622	38.9833	117.3667	2015	6	1	18
津南国家一般气象站	54622	39.05	117.7167	2015	8	28	14
塘沽国家基本气象站	54623	39.05	117.7167	2007	5	15	17
塘沽国家基本气象站	54623	39.05	117.7167	2008	6	25	15
塘沽国家基本气象站	54623	39.05	117.7167	2014	6	22	16
塘沽国家基本气象站	54623	39.05	117.7167	2015	5	17	16
塘沽国家基本气象站	54623	39.05	117.7167	2015	5	17	17
塘沽国家基本气象站	54623	39.05	117.7167	2015	5	17	18
塘沽国家基本气象站	54623	39.05	117.7167	2015	6	1	16
塘沽国家基本气象站	54623	39.05	117.7167	2015	6	10	16
塘沽国家基本气象站	54623	39.05	117.7167	2015	6	10	18
塘沽国家基本气象站	54623	39.05	117.7167	2015	6	10	19
塘沽国家基本气象站	54623	39.05	117.7167	2015	6	22	15
塘沽国家基本气象站	54623	39.05	117.7167	2015	7	24	15
塘沽国家基本气象站	54623	39.05	117.7167	2015	7	27	17
塘沽国家基本气象站	54623	39.05	117.7167	2015	8	11	15
塘沽国家基本气象站	54623	39.05	117.7167	2015	8	18	11
塘沽国家基本气象站	54623	39.05	117.7167	2015	8	28	13
塘沽国家基本气象站	54623	39.05	117.7167	2015	8	28	16
塘沽国家基本气象站	54623			2015	8	29	15
