Station_Name Station_Id_d Lat Lon Year Mon Day Hour threehouragoPRS threehouragoPRS_Sea threehouragoTEM threehouragoDPT threehouragoRHU threehouragoVAP threehouragoWIN_D_Avg_2mi threehouragoWIN_S_Avg_2mi threehouragoWIN_D_Avg_10mi threehouragoWIN_S_Avg_10mi twohouragoPRS twohouragoPRS_Sea twohouragoTEM twohouragoDPT twohouragoRHU twohouragoVAP twohouragoWIN_D_Avg_2mi twohouragoWIN_S_Avg_2mi twohouragoWIN_D_Avg_10mi twohouragoWIN_S_Avg_10mi onehouragoPRS onehouragoPRS_Sea onehouragoTEM onehouragoDPT onehouragoRHU onehouragoVAP onehouragoWIN_D_Avg_2mi onehouragoWIN_S_Avg_2mi onehouragoWIN_D_Avg_10mi onehouragoWIN_S_Avg_10mi PRE_1h STN1 CAPE1 BCAPE1 CIN1 KI1 SI1 LI1 BLI1 MK1 DCI1 MDCI1 MDPI1 IC1 BIC1 IL1 ILC1 TT1 PW1 CCL1 TCON1 TC1 PC1 LFC1 PE1 ZHT1 FHT1 SWEAT1 WINDEX1 SRH1 EHI1 BRN1 SSI1 SWISS00_1 SWISS12_1 STN2 CAPE2 BCAPE2 CIN2 KI2 SI2 LI2 BLI2 MK2 DCI2 MDCI2 MDPI2 IC2 BIC2 IL2 ILC2 TT2 PW2 CCL2 TCON2 TC2 PC2 LFC2 PE2 ZHT2 FHT2 SWEAT2 WINDEX2 SRH2 EHI2 BRN2 SSI2 SWISS00_2 SWISS12_2 STN3 CAPE3 BCAPE3 CIN3 KI3 SI3 LI3 BLI3 MK3 DCI3 MDCI3 MDPI3 IC3 BIC3 IL3 ILC3 TT3 PW3 CCL3 TCON3 TC3 PC3 LFC3 PE3 ZHT3 FHT3 SWEAT3 WINDEX3 SRH3 EHI3 BRN3 SSI3 SWISS00_3 SWISS12_3 STN4 CAPE4 BCAPE4 CIN4 KI4 SI4 LI4 BLI4 MK4 DCI4 MDCI4 MDPI4 IC4 BIC4 IL4 ILC4 TT4 PW4 CCL4 TCON4 TC4 PC4 LFC4 PE4 ZHT4 FHT4 SWEAT4 WINDEX4 SRH4 EHI4 BRN4 SSI4 SWISS00_4 SWISS12_4 STN5 CAPE5 BCAPE5 CIN5 KI5 SI5 LI5 BLI5 MK5 DCI5 MDCI5 MDPI5 IC5 BIC5 IL5 ILC5 TT5 PW5 CCL5 TCON5 TC5 PC5 LFC5 PE5 ZHT5 FHT5 SWEAT5 WINDEX5 SRH5 EHI5 BRN5 SSI5 SWISS00_5 SWISS12_5
塘沽国家基本气象站 54623 39.05 117.7167 2015 5 17 16 997.8 998.4 28.6 15.5 45 17.6 194 6.1 201 6.3 996.8 997.4 29.6 15.3 42 17.4 225 5.4 209 5.7 995.9 996.5 30.0 15.3 41 17.4 203 4.4 196 6.3 0.0 53798 5.642 5.642 0.000 11.000 5.078 2.236 2.236 19.500 15.764 24.264 0.304 7.700 -6.087 5.298 12.998 42.000 3.411 722.347 34.279 10.932 859.040 982.000 973.477 3718.760 8349.008 62.773 11.616 45.831 0.002 1.611 25.964 9.969 10.300 54218 0.000 0.000 99999.898 14.000 3.181 1.734 1.734 19.000 13.266 18.266 -0.108 4.328 2.167 3.803 8.131 47.000 2.847 664.905 29.432 4.555 782.237 99999.898 99999.898 3675.115 7728.415 107.470 0.000 498.268 0.000 0.000 59.773 5.576 12.651 54401 0.000 42.116 99999.898 9.000 5.959 6.457 2.391 12.500 6.543 10.043 -0.173 7.018 3.454 12.023 19.041 41.000 2.402 614.545 29.990 -0.041 738.697 99999.898 99999.898 3802.153 7632.533 57.534 2.752 365.350 0.000 0.000 56.478 7.690 16.882 54511 5.676 365.608 594.309 8.000 5.042 1.027 -0.565 17.500 14.973 24.473 0.568 3.367 -11.366 1.709 5.076 42.000 3.966 757.449 35.202 15.299 953.491 565.577 300.668 3745.611 7789.019 74.580 0.000 235.304 0.005 0.107 44.143 9.616 13.529 54727 0.000 0.000 99999.898 9.000 6.672 4.607 4.607 18.000 10.393 19.393 0.083 5.100 -1.655 9.760 14.860 39.000 3.072 728.589 32.185 8.500 841.217 99999.898 99999.898 4126.153 8389.740 69.567 0.000 129.716 0.000 0.000 29.104 10.185 15.594
塘沽国家基本气象站 54623 39.05 117.7167 2015 5 17 17 996.8 997.4 29.6 15.3 42 17.4 225 5.4 209 5.7 995.9 996.5 30.0 15.3 41 17.4 203 4.4 196 6.3 996.1 996.7 30.1 15.0 40 17.1 211 4.3 213 5.2 0.0 53798 5.642 5.642 0.000 11.000 5.078 2.236 2.236 19.500 15.764 24.264 0.304 7.700 -6.087 5.298 12.998 42.000 3.411 722.347 34.279 10.932 859.040 982.000 973.477 3718.760 8349.008 62.773 11.616 45.831 0.002 1.611 25.964 9.969 10.300 54218 0.000 0.000 99999.898 14.000 3.181 1.734 1.734 19.000 13.266 18.266 -0.108 4.328 2.167 3.803 8.131 47.000 2.847 664.905 29.432 4.555 782.237 99999.898 99999.898 3675.115 7728.415 107.470 0.000 498.268 0.000 0.000 59.773 5.576 12.651 54401 0.000 42.116 99999.898 9.000 5.959 6.457 2.391 12.500 6.543 10.043 -0.173 7.018 3.454 12.023 19.041 41.000 2.402 614.545 29.990 -0.041 738.697 99999.898 99999.898 3802.153 7632.533 57.534 2.752 365.350 0.000 0.000 56.478 7.690 16.882 54511 5.676 365.608 594.309 8.000 5.042 1.027 -0.565 17.500 14.973 24.473 0.568 3.367 -11.366 1.709 5.076 42.000 3.966 757.449 35.202 15.299 953.491 565.577 300.668 3745.611 7789.019 74.580 0.000 235.304 0.005 0.107 44.143 9.616 13.529 54727 0.000 0.000 99999.898 9.000 6.672 4.607 4.607 18.000 10.393 19.393 0.083 5.100 -1.655 9.760 14.860 39.000 3.072 728.589 32.185 8.500 841.217 99999.898 99999.898 4126.153 8389.740 69.567 0.000 129.716 0.000 0.000 29.104 10.185 15.594
塘沽国家基本气象站 54623 39.05 117.7167 2015 5 17 18 995.9 996.5 30.0 15.3 41 17.4 203 4.4 196 6.3 996.1 996.7 30.1 15.0 40 17.1 211 4.3 213 5.2 996.0 996.6 29.8 15.1 41 17.2 219 3.6 208 3.7 0.0 53798 5.642 5.642 0.000 11.000 5.078 2.236 2.236 19.500 15.764 24.264 0.304 7.700 -6.087 5.298 12.998 42.000 3.411 722.347 34.279 10.932 859.040 982.000 973.477 3718.760 8349.008 62.773 11.616 45.831 0.002 1.611 25.964 9.969 10.300 54218 0.000 0.000 99999.898 14.000 3.181 1.734 1.734 19.000 13.266 18.266 -0.108 4.328 2.167 3.803 8.131 47.000 2.847 664.905 29.432 4.555 782.237 99999.898 99999.898 3675.115 7728.415 107.470 0.000 498.268 0.000 0.000 59.773 5.576 12.651 54401 0.000 42.116 99999.898 9.000 5.959 6.457 2.391 12.500 6.543 10.043 -0.173 7.018 3.454 12.023 19.041 41.000 2.402 614.545 29.990 -0.041 738.697 99999.898 99999.898 3802.153 7632.533 57.534 2.752 365.350 0.000 0.000 56.478 7.690 16.882 54511 5.676 365.608 594.309 8.000 5.042 1.027 -0.565 17.500 14.973 24.473 0.568 3.367 -11.366 1.709 5.076 42.000 3.966 757.449 35.202 15.299 953.491 565.577 300.668 3745.611 7789.019 74.580 0.000 235.304 0.005 0.107 44.143 9.616 13.529 54727 0.000 0.000 99999.898 9.000 6.672 4.607 4.607 18.000 10.393 19.393 0.083 5.100 -1.655 9.760 14.860 39.000 3.072 728.589 32.185 8.500 841.217 99999.898 99999.898 4126.153 8389.740 69.567 0.000 129.716 0.000 0.000 29.104 10.185 15.594
塘沽国家基本气象站 54623 39.05 117.7167 2015 6 1 16 1000.3 1000.9 32.2 18.8 45 21.6 272 2.2 234 2.0 1000.2 1000.8 31.9 20.2 50 23.6 111 3.2 101 3.6 1000.1 1000.7 30.4 19.4 52 22.6 83 4.3 86 3.1 0.0 53798 49.983 49.983 0.000 11.000 6.629 1.966 1.966 21.000 18.034 28.034 0.578 10.999 -11.551 6.022 17.021 38.000 4.069 713.903 36.004 11.227 820.816 980.000 529.539 4154.154 8804.204 22.199 12.133 21.644 0.006 5.226 19.965 10.164 14.957 54218 0.000 0.000 99999.898 6.000 6.675 6.736 3.954 11.500 -0.736 4.764 -0.371 7.853 7.415 12.241 20.094 38.000 1.840 548.672 32.864 -7.826 654.563 99999.898 99999.898 3746.532 7632.001 85.265 4.625 257.048 0.000 0.000 57.764 12.595 14.848 54401 0.000 31.952 99999.898 12.000 6.316 8.460 2.893 14.500 4.540 7.040 -0.159 5.001 3.177 15.852 20.852 39.000 2.344 566.009 30.745 -6.643 656.236 99999.898 99999.898 3832.879 7908.922 99.890 4.948 140.898 0.000 0.000 51.760 11.201 13.199 54511 825.348 1386.354 614.046 12.000 2.221 -4.409 -5.879 23.500 23.409 34.909 0.700 2.489 -14.006 -7.780 -5.291 47.000 4.684 735.024 38.337 15.121 885.196 628.681 230.599 4047.966 8144.104 37.325 16.708 100.048 0.240 4.537 55.382 7.829 9.499 54727 115.391 115.391 0.000 16.000 4.357 -1.303 -1.303 26.500 22.303 32.803 0.688 5.351 -13.769 -1.178 4.173 43.000 4.256 747.488 35.533 13.664 854.325 990.000 390.309 4361.358 8763.913 74.722 17.352 3.436 0.037 0.491 27.977 13.600 14.744
塘沽国家基本气象站 54623 39.05 117.7167 2015 6 10 16 998.2 998.8 28.9 19.0 55 21.9 351 3.5 334 3.5 998.1 998.7 28.5 18.3 54 21.0 343 3.9 340 4.1 998.0 998.7 25.4 18.1 64 20.8 325 5.3 330 4.8 5.5 53798 234.902 831.023 0.000 30.000 0.379 -0.871 -3.135 36.500 27.871 34.371 0.650 -1.920 -13.008 -0.738 -2.657 49.000 6.454 731.413 36.368 14.131 870.733 726.957 398.840 4103.758 8514.336 140.558 15.252 58.886 0.055 3.087 43.635 6.552 4.261 54218 16.497 23.097 337.621 30.000 0.166 -0.324 -0.478 33.500 23.324 26.824 0.244 -3.221 -4.887 -1.754 -4.975 49.000 5.438 927.000 15.000 15.000 927.000 504.054 468.198 3918.379 8112.067 138.750 0.000 100.642 0.008 0.080 46.722 3.347 5.525 54401 172.314 222.130 151.349 30.000 -1.302 -1.433 -1.716 33.000 26.433 29.433 0.513 -5.026 -10.251 -3.170 -8.197 51.000 5.038 784.975 24.332 13.307 872.969 680.705 391.021 3727.655 8205.221 140.513 7.407 289.430 0.222 0.464 63.630 3.871 5.351 54511 2.189 185.934 390.313 32.000 -0.302 0.925 -1.346 38.000 24.075 30.075 0.340 -3.219 -6.808 2.100 -1.119 49.000 7.397 827.168 29.030 14.832 926.654 535.004 510.965 3873.201 8321.415 201.267 0.000 173.126 0.001 0.021 41.938 4.206 4.021 54727 721.324 721.324 378.109 -4.000 4.841 -2.471 -2.471 7.000 24.471 35.471 0.740 1.759 -14.795 -4.133 -2.375 42.000 3.739 793.844 33.217 16.110 877.440 576.954 230.597 4505.555 8610.325 120.922 18.121 22.830 0.000 4.207 22.552 9.503 14.522
塘沽国家基本气象站 54623 39.05 117.7167 2015 6 10 18 998.0 998.7 25.4 18.1 64 20.8 325 5.3 330 4.8 996.1 996.8 21.6 18.4 82 21.1 35 2.6 43 3.0 996.9 997.6 24.1 21.6 86 25.8 15 3.6 29 3.0 0.0 53798 234.902 831.023 0.000 30.000 0.379 -0.871 -3.135 36.500 27.871 34.371 0.650 -1.920 -13.008 -0.738 -2.657 49.000 6.454 731.413 36.368 14.131 870.733 726.957 398.840 4103.758 8514.336 140.558 15.252 58.886 0.055 3.087 43.635 6.552 4.261 54218 16.497 23.097 337.621 30.000 0.166 -0.324 -0.478 33.500 23.324 26.824 0.244 -3.221 -4.887 -1.754 -4.975 49.000 5.438 927.000 15.000 15.000 927.000 504.054 468.198 3918.379 8112.067 138.750 0.000 100.642 0.008 0.080 46.722 3.347 5.525 54401 172.314 222.130 151.349 30.000 -1.302 -1.433 -1.716 33.000 26.433 29.433 0.513 -5.026 -10.251 -3.170 -8.197 51.000 5.038 784.975 24.332 13.307 872.969 680.705 391.021 3727.655 8205.221 140.513 7.407 289.430 0.222 0.464 63.630 3.871 5.351 54511 2.189 185.934 390.313 32.000 -0.302 0.925 -1.346 38.000 24.075 30.075 0.340 -3.219 -6.808 2.100 -1.119 49.000 7.397 827.168 29.030 14.832 926.654 535.004 510.965 3873.201 8321.415 201.267 0.000 173.126 0.001 0.021 41.938 4.206 4.021 54727 721.324 721.324 378.109 -4.000 4.841 -2.471 -2.471 7.000 24.471 35.471 0.740 1.759 -14.795 -4.133 -2.375 42.000 3.739 793.844 33.217 16.110 877.440 576.954 230.597 4505.555 8610.325 120.922 18.121 22.830 0.000 4.207 22.552 9.503 14.522
塘沽国家基本气象站 54623 39.05 117.7167 2015 6 10 19 996.1 996.8 21.6 18.4 82 21.1 35 2.6 43 3.0 996.9 997.6 24.1 21.6 86 25.8 15 3.6 29 3.0 997.2 997.9 23.8 20.1 80 23.6 48 2.7 45 2.6 0.0 53798 234.902 831.023 0.000 30.000 0.379 -0.871 -3.135 36.500 27.871 34.371 0.650 -1.920 -13.008 -0.738 -2.657 49.000 6.454 731.413 36.368 14.131 870.733 726.957 398.840 4103.758 8514.336 140.558 15.252 58.886 0.055 3.087 43.635 6.552 4.261 54218 16.497 23.097 337.621 30.000 0.166 -0.324 -0.478 33.500 23.324 26.824 0.244 -3.221 -4.887 -1.754 -4.975 49.000 5.438 927.000 15.000 15.000 927.000 504.054 468.198 3918.379 8112.067 138.750 0.000 100.642 0.008 0.080 46.722 3.347 5.525 54401 172.314 222.130 151.349 30.000 -1.302 -1.433 -1.716 33.000 26.433 29.433 0.513 -5.026 -10.251 -3.170 -8.197 51.000 5.038 784.975 24.332 13.307 872.969 680.705 391.021 3727.655 8205.221 140.513 7.407 289.430 0.222 0.464 63.630 3.871 5.351 54511 2.189 185.934 390.313 32.000 -0.302 0.925 -1.346 38.000 24.075 30.075 0.340 -3.219 -6.808 2.100 -1.119 49.000 7.397 827.168 29.030 14.832 926.654 535.004 510.965 3873.201 8321.415 201.267 0.000 173.126 0.001 0.021 41.938 4.206 4.021 54727 721.324 721.324 378.109 -4.000 4.841 -2.471 -2.471 7.000 24.471 35.471 0.740 1.759 -14.795 -4.133 -2.375 42.000 3.739 793.844 33.217 16.110 877.440 576.954 230.597 4505.555 8610.325 120.922 18.121 22.830 0.000 4.207 22.552 9.503 14.522
塘沽国家基本气象站 54623 39.05 117.7167 2015 6 22 15 1006.0 1006.7 27.0 18.0 58 20.7 83 3.3 89 3.5 1005.6 1006.3 27.6 18.0 56 20.7 136 2.3 116 3.6 1005.5 1006.2 26.8 16.7 54 19.0 103 3.4 102 3.6 0.0 53798 0.000 74.871 99999.898 34.000 1.996 1.852 -1.008 40.500 21.148 27.648 0.115 0.737 -2.298 4.767 5.504 47.000 5.946 749.773 31.880 10.702 849.115 99999.898 99999.898 3770.564 8435.798 138.664 10.624 17.045 0.000 0.000 11.346 7.054 3.149 54218 300.070 300.070 235.994 28.000 2.779 -1.065 -1.065 34.500 23.065 29.565 0.792 -0.961 -15.840 -1.126 -2.088 46.000 3.924 751.015 27.712 10.932 814.426 566.024 303.078 4018.214 7994.839 233.547 16.475 34.230 0.052 35.332 28.052 8.423 11.495 54401 0.000 0.000 0.000 29.000 1.657 1.363 1.363 33.000 21.637 25.637 0.411 1.311 -8.212 3.781 5.092 47.000 4.447 744.597 24.346 7.514 780.639 920.000 920.001 3880.508 8114.904 117.181 14.051 -3.056 0.004 0.000 -29.123 5.240 6.603 54511 166.880 166.880 209.921 16.000 3.188 -0.359 -0.359 25.000 21.359 30.359 0.574 5.039 -11.473 -0.396 4.643 45.000 5.925 841.409 29.134 15.825 931.461 754.128 305.577 3680.736 8165.284 130.214 15.064 26.599 0.009 6.032 30.536 3.616 7.138 54727 0.000 0.000 99999.898 16.000 3.657 2.312 2.312 24.000 20.688 28.688 0.455 -1.749 -9.092 6.291 4.541 43.000 5.060 791.435 29.632 11.458 843.904 718.523 711.317 4132.395 8252.536 168.259 16.960 5.343 0.000 0.000 2.806 9.088 10.891
塘沽国家基本气象站 54623 39.05 117.7167 2015 7 24 15 1001.7 1002.3 29.5 23.0 68 28.0 91 4.1 83 2.6 1000.8 1001.4 29.8 22.8 66 27.7 126 2.5 130 3.1 1000.3 1000.9 30.1 23.0 66 28.2 128 2.1 122 2.8 0.0 53798 361.462 1190.400 352.419 25.000 4.030 0.081 -2.235 32.000 27.919 34.919 0.977 -2.495 -19.540 -0.064 -2.559 42.000 6.698 799.631 34.332 19.522 953.451 686.683 274.507 4257.167 8876.577 134.241 0.000 23.619 0.020 8.053 38.043 10.231 8.584 54218 620.003 620.003 0.000 34.000 0.315 -0.490 -0.490 38.000 31.490 35.490 0.741 -11.817 -14.811 -1.122 -12.939 45.000 6.404 797.346 28.588 17.291 889.604 930.000 257.629 4034.107 8810.425 169.211 14.566 6.172 0.035 79.492 27.251 2.782 2.432 54401 0.000 40.434 99999.898 33.000 2.704 3.084 1.608 36.000 22.916 25.916 0.113 -0.383 -2.265 7.316 6.932 44.000 5.598 733.596 27.451 10.172 814.718 99999.898 99999.898 3897.868 8524.702 179.275 11.670 -2.802 0.008 0.000 -26.754 4.186 3.525 54511 1087.598 2110.624 160.192 35.000 -0.663 -5.048 -7.629 43.500 33.048 41.548 1.209 -6.398 -24.180 -11.425 -17.823 50.000 8.548 856.716 31.715 20.280 954.949 763.059 279.704 4067.392 8691.090 170.430 18.713 27.177 0.087 38.855 52.064 1.652 2.297 54727 695.639 786.243 50.604 35.000 0.869 -1.156 -1.380 42.000 34.156 41.156 0.859 -10.683 -17.182 -2.608 -13.291 43.000 10.070 898.132 28.802 21.276 946.435 820.471 251.615 4352.877 9599.990 249.557 22.565 18.800 0.128 35.809 31.186 5.437 3.232
塘沽国家基本气象站 54623 39.05 117.7167 2015 7 27 17 1003.7 1004.3 32.0 25.6 69 32.8 108 4.6 108 3.7 1003.1 1003.7 31.6 25.5 70 32.5 102 2.4 109 3.4 1002.7 1003.3 31.8 25.2 68 32.0 100 4.1 100 3.3 0.0 53798 950.364 2713.679 0.000 23.000 5.776 -1.990 -5.264 32.500 31.990 41.490 1.811 0.627 -36.212 -4.883 -4.255 38.000 8.413 782.223 39.213 22.272 941.746 984.000 231.139 4818.208 9567.876 135.664 0.000 -21.606 0.018 51.729 28.158 10.794 9.711 54218 41.783 47.251 0.000 26.000 4.282 1.725 1.621 31.000 24.275 29.275 0.705 -2.000 -14.104 4.499 2.500 42.000 4.013 750.070 30.066 13.606 853.461 933.000 618.082 3902.474 9121.742 194.910 14.378 106.428 0.019 0.307 41.644 10.989 9.816 54401 0.000 839.855 0.000 37.000 -2.569 2.315 -2.983 37.500 32.685 33.185 1.181 -19.660 -23.615 6.435 -13.226 49.000 7.176 686.249 34.300 12.151 816.962 920.000 920.000 4393.740 9250.401 202.128 14.931 119.320 0.000 0.000 35.092 1.101 1.134 54511 146.407 1922.225 319.625 36.000 -3.547 -0.290 -4.760 40.500 37.290 41.790 1.391 -24.404 -27.821 -0.115 -24.519 49.000 9.664 834.955 33.723 20.040 944.858 627.450 273.238 4529.132 9333.029 277.150 15.269 84.674 0.069 1.404 33.361 1.008 1.014 54727 1366.761 1366.761 112.714 21.000 5.544 -2.797 -2.797 32.000 32.797 43.797 1.327 -1.559 -26.531 -5.949 -7.508 38.000 8.029 840.019 34.642 21.544 908.935 765.165 226.576 5008.782 9475.251 161.617 28.878 -17.884 0.332 683.380 0.046 11.420 9.238
