Station_Name Station_Id_d Lat Lon Year Mon Day Hour threehouragoPRS threehouragoPRS_Sea threehouragoTEM threehouragoDPT threehouragoRHU threehouragoVAP threehouragoWIN_D_Avg_2mi threehouragoWIN_S_Avg_2mi threehouragoWIN_D_Avg_10mi threehouragoWIN_S_Avg_10mi twohouragoPRS twohouragoPRS_Sea twohouragoTEM twohouragoDPT twohouragoRHU twohouragoVAP twohouragoWIN_D_Avg_2mi twohouragoWIN_S_Avg_2mi twohouragoWIN_D_Avg_10mi twohouragoWIN_S_Avg_10mi onehouragoPRS onehouragoPRS_Sea onehouragoTEM onehouragoDPT onehouragoRHU onehouragoVAP onehouragoWIN_D_Avg_2mi onehouragoWIN_S_Avg_2mi onehouragoWIN_D_Avg_10mi onehouragoWIN_S_Avg_10mi PRE_1h STN1 CAPE1 BCAPE1 CIN1 KI1 SI1 LI1 BLI1 MK1 DCI1 MDCI1 MDPI1 IC1 BIC1 IL1 ILC1 TT1 PW1 CCL1 TCON1 TC1 PC1 LFC1 PE1 ZHT1 FHT1 SWEAT1 WINDEX1 SRH1 EHI1 BRN1 SSI1 SWISS00_1 SWISS12_1 STN2 CAPE2 BCAPE2 CIN2 KI2 SI2 LI2 BLI2 MK2 DCI2 MDCI2 MDPI2 IC2 BIC2 IL2 ILC2 TT2 PW2 CCL2 TCON2 TC2 PC2 LFC2 PE2 ZHT2 FHT2 SWEAT2 WINDEX2 SRH2 EHI2 BRN2 SSI2 SWISS00_2 SWISS12_2 STN3 CAPE3 BCAPE3 CIN3 KI3 SI3 LI3 BLI3 MK3 DCI3 MDCI3 MDPI3 IC3 BIC3 IL3 ILC3 TT3 PW3 CCL3 TCON3 TC3 PC3 LFC3 PE3 ZHT3 FHT3 SWEAT3 WINDEX3 SRH3 EHI3 BRN3 SSI3 SWISS00_3 SWISS12_3 STN4 CAPE4 BCAPE4 CIN4 KI4 SI4 LI4 BLI4 MK4 DCI4 MDCI4 MDPI4 IC4 BIC4 IL4 ILC4 TT4 PW4 CCL4 TCON4 TC4 PC4 LFC4 PE4 ZHT4 FHT4 SWEAT4 WINDEX4 SRH4 EHI4 BRN4 SSI4 SWISS00_4 SWISS12_4 STN5 CAPE5 BCAPE5 CIN5 KI5 SI5 LI5 BLI5 MK5 DCI5 MDCI5 MDPI5 IC5 BIC5 IL5 ILC5 TT5 PW5 CCL5 TCON5 TC5 PC5 LFC5 PE5 ZHT5 FHT5 SWEAT5 WINDEX5 SRH5 EHI5 BRN5 SSI5 SWISS00_5 SWISS12_5
蓟县国家一般气象站 54428 40.0333 117.4 2008 8 27 1 1009.0 1011.0 23.2 19.2 78 22.2 62 1.5 66 1.5 1009.2 1011.2 22.8 19.2 80 22.2 73 1.9 76 1.9 1009.2 1011.2 23.0 17.9 73 20.5 75 2.0 75 2.0 0.3 53798 2258.710 2258.710 16.701 31.000 -1.172 -5.033 -5.033 40.000 35.033 44.033 1.121 -12.815 -22.414 -11.687 -24.502 48.000 8.090 922.954 27.601 21.035 942.158 899.826 245.279 4014.037 8138.270 243.381 26.755 24.935 0.323 78.400 59.246 3.292 0.766 54218 0.000 0.000 99999.898 30.000 3.909 3.478 3.478 34.500 16.522 21.022 -0.239 6.410 4.770 6.325 12.735 44.000 5.381 798.996 24.676 12.311 905.379 99999.898 99999.898 3475.961 8106.681 119.954 0.000 95.311 0.000 0.000 33.134 7.927 7.481 54401 302.274 336.653 126.181 31.000 0.845 -1.525 -1.723 36.000 25.525 30.525 0.685 -5.251 -13.710 -3.139 -8.390 48.000 4.859 803.420 24.963 14.071 874.343 699.514 99999.898 3744.320 99999.898 170.934 14.431 39.083 0.058 18.155 52.368 6.714 5.752 54511 1458.589 1458.589 0.000 36.000 -1.151 -3.378 -3.378 45.000 30.378 39.378 0.676 -4.966 -13.512 -6.266 -11.232 49.000 8.716 896.929 26.974 17.338 907.681 1006.000 234.011 3723.705 8300.614 231.895 25.366 76.045 0.319 54.360 66.102 3.882 1.989 54727 1039.368 1120.740 103.494 31.000 0.704 -4.062 -4.256 40.000 30.062 39.062 1.054 -3.663 -21.089 -8.741 -12.404 48.000 7.059 879.657 28.657 19.045 939.071 803.757 279.705 4062.728 8647.598 173.510 19.977 63.934 0.296 21.293 53.133 4.820 4.665
蓟县国家一般气象站 54428 40.0333 117.4 2014 6 6 13 1002.3 1004.2 26.9 19.0 62 22.0 112 3.5 109 3.5 1002.0 1003.9 27.4 19.5 62 22.6 109 4.0 108 3.3 1001.5 1003.4 28.5 18.9 56 21.8 109 2.8 103 3.1 0.0 53798 0.000 0.000 99999.898 28.000 2.604 4.596 1.881 33.000 23.404 28.404 0.509 -5.392 -10.184 11.449 6.056 44.000 5.799 712.982 35.307 10.242 822.981 99999.898 99999.898 4339.855 8974.668 190.238 17.018 19.787 0.000 0.000 17.649 7.969 5.230 54218 4.824 0.000 0.000 29.000 4.252 3.800 2.170 33.000 16.200 20.200 -0.179 5.985 3.577 6.396 12.381 42.000 6.024 934.000 14.000 14.000 934.000 934.000 907.264 3792.749 8515.888 143.491 0.000 118.831 0.003 0.182 51.272 6.395 9.642 54401 38.207 38.207 0.000 29.000 3.373 1.044 1.044 34.000 19.956 24.956 0.333 -2.121 -6.658 1.843 -0.278 43.000 5.238 875.616 17.323 13.307 879.662 920.000 751.143 3913.934 8549.582 136.415 0.000 38.010 0.001 19.104 53.751 9.689 9.217 54511 59.462 813.141 0.000 32.000 0.031 -0.085 -2.774 38.500 28.085 34.585 1.007 -7.799 -20.130 0.271 -7.528 48.000 7.491 814.843 32.263 16.819 929.766 1007.000 424.355 4187.876 8761.952 200.782 18.786 6.035 0.012 0.712 42.154 6.332 5.443 54727 30.975 30.975 572.069 19.000 3.882 2.758 2.758 26.500 24.242 31.742 0.608 -4.414 -12.154 7.992 3.578 41.000 4.525 782.852 32.315 13.664 855.188 439.737 390.577 4770.022 9070.098 191.558 13.646 -0.776 0.001 0.613 11.295 14.484 13.911
蓟县国家一般气象站 54428 40.0333 117.4 2016 6 15 16 999.5 1001.5 27.9 13.1 40 15.0 175 2.9 171 2.3 998.7 1000.6 29.0 13.3 38 15.2 145 2.0 177 1.8 998.4 1000.3 29.9 12.4 34 14.3 153 1.8 166 1.9 0.0 53798 143.097 143.097 30.048 28.000 4.473 1.018 1.018 36.500 18.982 27.482 0.279 2.377 -5.585 2.376 4.753 42.000 5.916 886.032 23.198 14.832 913.655 847.907 610.476 3537.830 8308.677 190.886 16.246 9.277 0.011 7.655 30.244 9.186 8.327 54218 19.595 19.595 93.135 30.000 3.699 2.790 2.790 34.500 14.210 18.710 0.228 -0.697 -4.562 4.921 4.224 45.000 3.979 823.419 19.186 10.091 875.717 713.155 636.028 3010.001 7678.180 155.346 8.286 -35.780 0.006 0.288 37.352 7.181 7.870 54401 0.000 0.000 99999.898 17.000 5.067 3.126 3.126 22.000 11.874 16.874 0.305 2.394 -6.094 5.977 8.371 43.000 2.414 738.335 23.968 7.427 827.114 618.558 612.885 3288.491 7686.491 95.156 8.760 -3.131 0.006 0.000 44.323 8.665 12.111 54511 0.000 0.000 99999.898 25.000 6.839 2.943 2.943 35.000 11.057 21.057 0.216 4.838 -4.313 6.221 11.059 40.000 4.439 824.320 26.251 11.162 886.861 99999.898 99999.898 3397.103 7978.921 131.910 12.008 -12.438 0.006 0.000 49.969 10.755 14.205 54727 72.899 72.899 5.537 24.000 5.882 4.022 4.022 31.500 14.978 22.478 0.427 1.701 -8.536 7.614 9.316 39.000 5.765 947.968 18.918 15.533 959.005 928.577 652.111 3362.052 8260.332 202.467 0.000 27.349 0.009 1.378 41.194 12.213 10.592
蓟县国家一般气象站 54428 40.0333 117.4 2016 6 15 17 998.7 1000.6 29.0 13.3 38 15.2 145 2.0 177 1.8 998.4 1000.3 29.9 12.4 34 14.3 153 1.8 166 1.9 998.2 1000.1 30.2 12.6 34 14.6 238 1.9 243 1.8 0.1 53798 143.097 143.097 30.048 28.000 4.473 1.018 1.018 36.500 18.982 27.482 0.279 2.377 -5.585 2.376 4.753 42.000 5.916 886.032 23.198 14.832 913.655 847.907 610.476 3537.830 8308.677 190.886 16.246 9.277 0.011 7.655 30.244 9.186 8.327 54218 19.595 19.595 93.135 30.000 3.699 2.790 2.790 34.500 14.210 18.710 0.228 -0.697 -4.562 4.921 4.224 45.000 3.979 823.419 19.186 10.091 875.717 713.155 636.028 3010.001 7678.180 155.346 8.286 -35.780 0.006 0.288 37.352 7.181 7.870 54401 0.000 0.000 99999.898 17.000 5.067 3.126 3.126 22.000 11.874 16.874 0.305 2.394 -6.094 5.977 8.371 43.000 2.414 738.335 23.968 7.427 827.114 618.558 612.885 3288.491 7686.491 95.156 8.760 -3.131 0.006 0.000 44.323 8.665 12.111 54511 0.000 0.000 99999.898 25.000 6.839 2.943 2.943 35.000 11.057 21.057 0.216 4.838 -4.313 6.221 11.059 40.000 4.439 824.320 26.251 11.162 886.861 99999.898 99999.898 3397.103 7978.921 131.910 12.008 -12.438 0.006 0.000 49.969 10.755 14.205 54727 72.899 72.899 5.537 24.000 5.882 4.022 4.022 31.500 14.978 22.478 0.427 1.701 -8.536 7.614 9.316 39.000 5.765 947.968 18.918 15.533 959.005 928.577 652.111 3362.052 8260.332 202.467 0.000 27.349 0.009 1.378 41.194 12.213 10.592
天津城市气候监测站 54517 39.0667 117.2 2015 6 22 12 1006.0 1006.4 27.0 13.7 44 15.7 199 1.4 180 1.5 1005.7 1006.1 27.8 15.1 46 17.2 76 1.7 47 1.7 1005.4 1005.8 28.9 16.8 48 19.1 108 2.0 71 2.0 0.0 53798 0.000 74.871 99999.898 34.000 1.996 1.852 -1.008 40.500 21.148 27.648 0.115 0.737 -2.298 4.767 5.504 47.000 5.946 749.773 31.880 10.702 849.115 99999.898 99999.898 3770.564 8435.798 138.664 10.624 17.045 0.000 0.000 11.346 7.054 3.149 54218 300.070 300.070 235.994 28.000 2.779 -1.065 -1.065 34.500 23.065 29.565 0.792 -0.961 -15.840 -1.126 -2.088 46.000 3.924 751.015 27.712 10.932 814.426 566.024 303.078 4018.214 7994.839 233.547 16.475 34.230 0.052 35.332 28.052 8.423 11.495 54401 0.000 0.000 0.000 29.000 1.657 1.363 1.363 33.000 21.637 25.637 0.411 1.311 -8.212 3.781 5.092 47.000 4.447 744.597 24.346 7.514 780.639 920.000 920.001 3880.508 8114.904 117.181 14.051 -3.056 0.004 0.000 -29.123 5.240 6.603 54511 166.880 166.880 209.921 16.000 3.188 -0.359 -0.359 25.000 21.359 30.359 0.574 5.039 -11.473 -0.396 4.643 45.000 5.925 841.409 29.134 15.825 931.461 754.128 305.577 3680.736 8165.284 130.214 15.064 26.599 0.009 6.032 30.536 3.616 7.138 54727 0.000 0.000 99999.898 16.000 3.657 2.312 2.312 24.000 20.688 28.688 0.455 -1.749 -9.092 6.291 4.541 43.000 5.060 791.435 29.632 11.458 843.904 718.523 711.317 4132.395 8252.536 168.259 16.960 5.343 0.000 0.000 2.806 9.088 10.891
武清国家一般气象站 54523 39.3833 117.0167 2007 7 11 0 996.6 997.2 27.6 21.2 68 25.1 124 3.4 126 3.2 996.7 997.3 26.3 21.1 73 25.0 113 5.0 115 5.2 997.8 998.5 25.1 20.6 76 24.2 92 4.5 87 4.4 0.0 53798 13.398 13.398 162.036 27 4.776 0.565 0.565 37 29.435 39.435 0.628 -1.745 -12.551 5.105 3.36 40 6.314 743.187 37.27 13.241 786.212 684.853 410.88 4975.858 9507.213 185.344 28.27 129.544 0.005 0.157 46.943 8.198 12.625 54218 1238.049 1238.049 0 32 -4.65 -5.646 -5.646 37 34.646 39.646 0.983 -15.055 -19.659 -11.636 -26.691 55 5.565 865.992 22.295 15.825 868.311 935 268.797 3671.444 8381.226 72.68 22.961 5.629 0.132 7.641 38.923 5.098 0.126 54401 305.539 305.539 0 21 3.822 0.757 0.757 27.5 21.243 27.743 0.377 1.159 -7.536 3.736 4.895 44 3.012 649.695 29.711 0.917 652.477 918 407.198 3800.492 8277.205 161.601 23.635 103.961 0.148 1.633 57.747 8.24 11.341 54511 1702.903 1702.903 130.867 30 1.301 -3.98 -3.98 40.5 32.98 43.48 1.187 -6.95 -23.735 -6.315 -13.266 47 5.908 764.699 36.173 14.693 808.651 737.456 223.381 3880.857 8573.748 197.373 33.597 154.314 1.015 38.81 84.745 6.241 7.398 54727 36.643 379.925 447.259 17 1.971 0.897 -0.286 24.5 29.103 36.603 0.844 -8.197 -16.882 4.622 -3.575 44 5.19 761.777 33.894 12.963 813.838 412.393 250.884 4834.945 8805.646 229.447 23.842 50.245 0.007 0.554 40.873 9.104 18.644
武清国家一般气象站 54523 39.3833 117.0167 2009 6 26 18 996.7 997.3 35.2 17.9 36 20.5 164 2.0 179 2.1 996.6 997.2 35.3 15.1 30 17.2 180 3.7 179 3.3 996.7 997.3 35.6 15.9 31 18.0 182 4.0 184 4.5 0.0 53798 734.695 734.695 0.000 8.000 2.547 -3.118 -3.118 18.500 29.118 39.618 0.819 -2.924 -16.380 -4.466 -7.390 46.000 4.302 696.368 41.920 13.946 819.985 992.000 298.299 4532.833 8600.303 136.978 25.310 21.469 0.061 19.489 19.228 6.486 11.531 54218 104.516 316.144 965.535 13.000 0.835 0.528 -0.594 17.500 27.472 31.972 0.265 -2.241 -5.302 2.896 0.655 48.000 3.690 627.727 39.988 9.029 771.953 481.937 338.917 4690.489 8362.040 63.888 12.379 216.308 0.124 1.366 48.532 4.133 11.863 54401 190.110 190.110 777.520 24.000 0.496 0.175 0.175 27.500 28.825 32.325 0.210 -3.586 -4.208 1.992 -1.594 49.000 4.365 646.583 36.664 9.258 771.584 495.486 284.728 4590.535 8345.358 100.485 13.321 42.166 0.037 95.055 -6.398 3.985 5.705 54511 0.000 1613.666 99999.898 20.000 -1.224 3.059 -5.341 24.000 26.941 30.941 0.937 -2.743 -18.738 7.975 5.232 52.000 5.556 628.383 43.496 7.364 786.774 99999.898 99999.898 4434.894 8552.353 157.177 19.772 44.357 0.000 0.000 49.010 5.402 9.859 54727 1417.859 1417.859 456.172 1.000 7.055 -3.701 -3.701 16.000 22.701 37.701 1.002 4.727 -20.033 -5.874 -1.147 37.000 4.036 698.067 42.703 14.929 817.866 621.718 237.129 4543.281 8445.399 65.529 28.592 -334.388 0.478 129.988 70.433 14.704 19.045
武清国家一般气象站 54523 39.3833 117.0167 2014 6 26 16 1000.6 1001.2 29.6 22.3 65 27.0 273 1.9 274 2.0 999.9 1000.5 30.4 22.6 63 27.3 228 1.9 233 1.9 999.4 1000.0 31.0 22.9 62 27.9 215 2.4 221 2.4 0.0 53798 0.000 907.726 99999.898 29.000 2.971 1.733 -2.238 35.000 28.267 34.267 1.115 -2.840 -22.300 4.603 1.763 42.000 7.684 799.185 33.423 18.050 926.686 99999.898 99999.898 4580.710 9395.734 174.395 0.000 -12.783 0.002 0.000 22.802 8.947 6.764 54218 418.728 845.708 0.000 30.000 0.437 -1.174 -2.350 35.000 27.174 32.174 0.853 -6.379 -17.068 -1.517 -7.896 48.000 4.782 774.847 26.454 12.151 824.066 928.000 260.821 4200.555 8204.324 159.960 16.679 9.721 0.038 209.364 31.576 3.955 5.317 54401 6.703 99.057 172.236 36.000 0.687 1.425 0.687 38.500 26.575 29.075 0.595 -8.566 -11.899 2.892 -5.674 46.000 5.176 782.637 26.127 14.303 878.801 700.629 663.675 4285.950 8449.511 212.494 0.000 27.218 0.001 0.332 32.390 4.372 6.182 54511 1558.431 1558.431 3.036 32.000 -0.372 -3.584 -3.584 39.500 33.584 41.084 1.233 -10.559 -24.651 -9.167 -19.725 48.000 7.663 972.053 23.940 21.759 985.406 953.719 232.009 3962.385 8615.588 191.463 22.953 74.997 0.659 35.947 62.491 4.177 3.135 54727 40.132 40.132 87.047 28.000 5.882 2.131 2.131 36.000 24.869 32.869 0.511 -1.281 -10.224 5.512 4.231 37.000 8.010 916.626 25.362 19.284 948.153 717.140 523.807 4505.422 9164.929 160.170 0.000 15.422 0.003 1.174 13.621 10.260 8.193
武清国家一般气象站 54523 39.3833 117.0167 2014 6 26 16 1000.6 1001.2 29.6 22.3 65 27.0 273 1.9 274 2.0 999.9 1000.5 30.4 22.6 63 27.3 228 1.9 233 1.9 999.4 1000.0 31.0 22.9 62 27.9 215 2.4 221 2.4 0.0 53798 0.000 907.726 99999.898 29.000 2.971 1.733 -2.238 35.000 28.267 34.267 1.115 -2.840 -22.300 4.603 1.763 42.000 7.684 799.185 33.423 18.050 926.686 99999.898 99999.898 4580.710 9395.734 174.395 0.000 -12.783 0.002 0.000 22.802 8.947 6.764 54218 418.728 845.708 0.000 30.000 0.437 -1.174 -2.350 35.000 27.174 32.174 0.853 -6.379 -17.068 -1.517 -7.896 48.000 4.782 774.847 26.454 12.151 824.066 928.000 260.821 4200.555 8204.324 159.960 16.679 9.721 0.038 209.364 31.576 3.955 5.317 54401 6.703 99.057 172.236 36.000 0.687 1.425 0.687 38.500 26.575 29.075 0.595 -8.566 -11.899 2.892 -5.674 46.000 5.176 782.637 26.127 14.303 878.801 700.629 663.675 4285.950 8449.511 212.494 0.000 27.218 0.001 0.332 32.390 4.372 6.182 54511 1558.431 1558.431 3.036 32.000 -0.372 -3.584 -3.584 39.500 33.584 41.084 1.233 -10.559 -24.651 -9.167 -19.725 48.000 7.663 972.053 23.940 21.759 985.406 953.719 232.009 3962.385 8615.588 191.463 22.953 74.997 0.659 35.947 62.491 4.177 3.135 54727 40.132 40.132 87.047 28.000 5.882 2.131 2.131 36.000 24.869 32.869 0.511 -1.281 -10.224 5.512 4.231 37.000 8.010 916.626 25.362 19.284 948.153 717.140 523.807 4505.422 9164.929 160.170 0.000 15.422 0.003 1.174 13.621 10.260 8.193
武清国家一般气象站 54523 39.3833 117.0167 2015 7 21 18 1003.3 1003.9 30.8 22.9 63 28.0 234 2.9 234 2.3 1002.7 1003.3 31.2 23.3 63 28.6 224 2.0 221 2.1 1002.7 1003.3 29.7 23.2 68 28.4 213 4.5 218 3.6 0.0 53798 714.514 1740.682 168.850 36.000 -5.100 -4.283 -6.844 41.000 38.283 43.283 1.061 -15.782 -21.222 -10.247 -26.028 54.000 9.689 870.345 29.720 20.520 957.401 678.821 260.688 4346.576 9036.398 255.718 0.000 7.876 0.267 357.257 20.869 -2.681 -2.857 54218 757.480 757.480 109.403 37.000 -0.770 -1.915 -1.915 41.000 33.915 37.915 0.551 -7.964 -11.015 -4.212 -12.176 48.000 6.688 798.209 28.604 17.055 877.543 736.334 237.357 4301.246 8939.307 229.677 13.595 36.507 0.213 72.714 40.170 1.343 3.292 54401 227.606 308.233 129.837 34.000 -0.650 -1.525 -1.883 38.000 30.525 34.525 0.463 -5.114 -9.257 -3.569 -8.684 47.000 7.196 864.202 21.336 16.295 880.902 607.191 345.341 4441.126 8973.485 145.132 0.000 6.642 0.008 70.375 4.860 0.777 1.633 54511 1322.329 1322.329 11.530 32.000 -0.172 -3.567 -3.567 40.000 33.567 41.567 1.006 -8.691 -20.127 -9.815 -18.506 46.000 9.247 971.967 25.207 23.000 1003.000 929.512 213.059 4325.685 9041.643 223.567 0.000 38.219 0.312 50.177 46.898 1.481 2.648 54727 806.182 1020.411 38.489 25.000 1.315 -1.925 -2.380 33.000 32.925 40.925 1.181 -8.790 -23.625 -4.608 -13.398 43.000 8.204 905.831 28.388 21.276 950.263 875.299 245.333 4629.077 9421.401 234.350 0.000 14.015 0.027 19.158 30.243 7.525 6.585
